iter	Passed	Remaining
386	52967	15465
387	52977	15292
388	52988	15119
389	52996	14947
390	53005	14776
391	53015	14606
392	53026	14437
393	53036	14268
394	53047	14101
395	53058	13934
396	53067	13768
397	53077	13602
398	53087	13438
399	53097	13274
400	53107	13111
401	53117	12948
402	53126	12787
403	53137	12626
404	53149	12467
405	53160	12308
406	53170	12149
407	53182	11992
408	53192	11835
409	53201	11678
410	53210	11522
411	53220	11367
412	53230	11213
413	53240	11059
414	53249	10906
415	53259	10754
416	53269	10602
417	53278	10451
418	53289	10301
419	53299	10152
420	53311	10003
421	53323	9855
422	53334	9708
423	53343	9561
424	53352	9415
425	53363	9269
426	53372	9124
427	53381	8980
428	53391	8836
429	53402	8693
430	53412	8550
431	53422	8409
432	53432	8267
433	53442	8127
434	53452	7987
435	53463	7847
436	53473	7708
437	53483	7570
438	53493	7433
439	53504	7296
440	53512	7159
441	53521	7023
442	53530	6887
443	53542	6753
444	53552	6618
445	53561	6485
446	53570	6351
447	53581	6219
448	53589	6087
449	53605	5956
450	53624	5826
451	53633	5695
452	53644	5565
453	53653	5436
454	53664	5307
455	53684	5180
456	53696	5052
457	53707	4925
458	53715	4798
459	53725	4671
460	53735	4545
461	53746	4420
462	53755	4295
463	53763	4171
464	53782	4048
465	53797	3925
466	53808	3802
467	53817	3679
468	53828	3557
469	53841	3436
470	53851	3315
471	53862	3195
472	53872	3075
473	53881	2955
474	53890	2836
475	53900	2717
476	53914	2599
477	53924	2481
478	53934	2364
479	53944	2247
480	53954	2131
481	53963	2015
482	53974	1899
483	53987	1784
484	53997	1670
485	54007	1555
486	54017	1441
487	54028	1328
488	54037	1215
489	54047	1103
490	54058	990
491	54068	879
492	54079	767
493	54089	656
494	54098	546
495	54108	436
496	54118	326
497	54128	217
498	54138	108
499	54149	0
